race,region,candidate,votes,region_total,basis,revid,source
vice_president,IV-B,Pangilinan,366365,1535609,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,IV-B,Sotto,389168,1535609,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,IV-B,Others,95387,1535609,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,V,Duterte,669901,3051163,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,V,Pangilinan,1702270,3051163,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,V,Sotto,531995,3051163,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,V,Others,146997,3051163,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,VI,Duterte,1508367,3878606,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,VI,Pangilinan,1398752,3878606,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,VI,Sotto,760188,3878606,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,VI,Others,211299,3878606,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,VII,Duterte,2790568,4068676,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,VII,Pangilinan,561276,4068676,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,VII,Sotto,539555,4068676,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,VII,Others,177277,4068676,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,VIII,Duterte,1607315,2354065,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,VIII,Pangilinan,331370,2354065,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,VIII,Sotto,323950,2354065,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,VIII,Others,91430,2354065,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,IX,Duterte,1242316,1626089,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,IX,Pangilinan,161270,1626089,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,IX,Sotto,164079,1626089,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,IX,Others,58424,1626089,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,X,Duterte,2010943,2372217,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,X,Pangilinan,160872,2372217,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,X,Sotto,132854,2372217,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,X,Others,67548,2372217,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,XI,Duterte,2279473,2469019,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,XI,Pangilinan,54182,2469019,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,XI,Sotto,92555,2469019,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,XI,Others,42809,2469019,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,XII,Duterte,1611516,1965339,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,XII,Pangilinan,132985,1965339,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,XII,Sotto,154445,1965339,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,XII,Others,66393,1965339,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,XIII,Duterte,1258406,1447585,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,XIII,Pangilinan,88478,1447585,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,XIII,Sotto,65994,1447585,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,XIII,Others,34707,1447585,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,BARMM,Duterte,1668965,1887615,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,BARMM,Pangilinan,112427,1887615,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,BARMM,Sotto,54565,1887615,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,BARMM,Others,51658,1887615,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,Absentee,Duterte,560510,730372,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,Absentee,Pangilinan,113617,730372,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,Absentee,Sotto,21636,730372,published,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
vice_president,Absentee,Others,34609,730372,derived as total minus named,1364056464,Wikipedia 2022 Philippine presidential election (revid 1364056464)
