bidding_zone,country,timestamp_utc,price,unit,source
DE-LU,Germany,2025-01-02 19:00,130.0,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-02 20:00,119.78,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-02 21:00,113.42,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-02 22:00,82.47,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-02 23:00,99.56,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-03 00:00,87.53,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-03 01:00,85.01,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-03 02:00,83.79,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-03 03:00,77.5,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-03 04:00,79.88,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-03 05:00,83.56,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-03 06:00,78.43,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-03 07:00,82.57,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-03 08:00,80.76,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-03 09:00,77.64,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-03 10:00,70.48,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-03 11:00,69.94,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-03 12:00,77.8,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
DE-LU,Germany,2025-01-03 13:00,78.81,EUR / MWh,"Fraunhofer ISE Energy-Charts (ENTSO-E transparency; prices from Bundesnetzagentur / SMARD), CC BY 4.0"
