city,country,model,status,detail,source
Dhaka,BD,MPI_ESM1_2_XR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Dhaka,BD,NICAM16_8S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Lagos,NG,CMCC_CM2_VHR4,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Lagos,NG,FGOALS_f3_H,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Lagos,NG,HiRAM_SIT_HR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Lagos,NG,MRI_AGCM3_2_S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Lagos,NG,EC_Earth3P_HR,ok,"7305 baseline days, 6940 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Lagos,NG,MPI_ESM1_2_XR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Lagos,NG,NICAM16_8S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Nairobi,KE,CMCC_CM2_VHR4,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Nairobi,KE,FGOALS_f3_H,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Nairobi,KE,HiRAM_SIT_HR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Nairobi,KE,MRI_AGCM3_2_S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Nairobi,KE,EC_Earth3P_HR,ok,"7305 baseline days, 6940 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Nairobi,KE,MPI_ESM1_2_XR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Nairobi,KE,NICAM16_8S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Cairo,EG,CMCC_CM2_VHR4,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Cairo,EG,FGOALS_f3_H,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Cairo,EG,HiRAM_SIT_HR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Cairo,EG,MRI_AGCM3_2_S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Cairo,EG,EC_Earth3P_HR,ok,"7305 baseline days, 6940 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Cairo,EG,MPI_ESM1_2_XR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Cairo,EG,NICAM16_8S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Sao Paulo,BR,CMCC_CM2_VHR4,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Sao Paulo,BR,FGOALS_f3_H,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Sao Paulo,BR,HiRAM_SIT_HR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Sao Paulo,BR,MRI_AGCM3_2_S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Sao Paulo,BR,EC_Earth3P_HR,ok,"7305 baseline days, 6940 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Sao Paulo,BR,MPI_ESM1_2_XR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Sao Paulo,BR,NICAM16_8S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Reykjavik,IS,CMCC_CM2_VHR4,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Reykjavik,IS,FGOALS_f3_H,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Reykjavik,IS,HiRAM_SIT_HR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Reykjavik,IS,MRI_AGCM3_2_S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Reykjavik,IS,EC_Earth3P_HR,ok,"7305 baseline days, 6940 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Reykjavik,IS,MPI_ESM1_2_XR,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Reykjavik,IS,NICAM16_8S,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Moscow,RU,CMCC_CM2_VHR4,ok,"7305 baseline days, 7305 future days","Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
