date,section,commodity,specification,price_php_per_kg,source_pdf
2020-03-05,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,54.00,Price-Monitoring-March-5-2020.pdf
2020-03-05,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,45.00,Price-Monitoring-March-5-2020.pdf
2020-03-05,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-March-5-2020.pdf
2020-03-05,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,35.00,Price-Monitoring-March-5-2020.pdf
2020-03-06,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-March-6-2020.pdf
2020-03-06,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,52.00,Price-Monitoring-March-6-2020.pdf
2020-03-06,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,40.00,Price-Monitoring-March-6-2020.pdf
2020-03-06,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,44.00,Price-Monitoring-March-6-2020.pdf
2020-03-06,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,29.00,Price-Monitoring-March-6-2020.pdf
2020-03-06,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,54.00,Price-Monitoring-March-6-2020.pdf
2020-03-06,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,45.00,Price-Monitoring-March-6-2020.pdf
2020-03-06,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-March-6-2020.pdf
2020-03-06,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,35.00,Price-Monitoring-March-6-2020.pdf
2020-03-07,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-March-7-2020.pdf
2020-03-07,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,52.00,Price-Monitoring-March-7-2020.pdf
2020-03-07,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,40.00,Price-Monitoring-March-7-2020.pdf
2020-03-07,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,44.00,Price-Monitoring-March-7-2020.pdf
2020-03-07,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,29.00,Price-Monitoring-March-7-2020.pdf
2020-03-07,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,54.00,Price-Monitoring-March-7-2020.pdf
2020-03-07,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,45.00,Price-Monitoring-March-7-2020.pdf
2020-03-07,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-March-7-2020.pdf
2020-03-07,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,35.00,Price-Monitoring-March-7-2020.pdf
2020-03-09,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-March-9-2020.pdf
2020-03-09,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,52.00,Price-Monitoring-March-9-2020.pdf
2020-03-09,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,46.00,Price-Monitoring-March-9-2020.pdf
2020-03-09,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,44.00,Price-Monitoring-March-9-2020.pdf
2020-03-09,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,40.00,Price-Monitoring-March-9-2020.pdf
2020-03-09,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,54.00,Price-Monitoring-March-9-2020.pdf
2020-03-09,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,46.00,Price-Monitoring-March-9-2020.pdf
2020-03-09,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-March-9-2020.pdf
2020-03-09,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,35.00,Price-Monitoring-March-9-2020.pdf
2020-03-10,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-March-10-2020.pdf
2020-03-10,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,52.00,Price-Monitoring-March-10-2020.pdf
2020-03-10,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,40.00,Price-Monitoring-March-10-2020.pdf
2020-03-10,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,44.00,Price-Monitoring-March-10-2020.pdf
2020-03-10,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,36.00,Price-Monitoring-March-10-2020.pdf
2020-03-10,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,54.00,Price-Monitoring-March-10-2020.pdf
2020-03-10,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,46.00,Price-Monitoring-March-10-2020.pdf
2020-03-10,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-March-10-2020.pdf
2020-03-10,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,35.00,Price-Monitoring-March-10-2020.pdf
2020-03-11,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-March-11-2020.pdf
2020-03-11,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,52.00,Price-Monitoring-March-11-2020.pdf
2020-03-11,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,40.00,Price-Monitoring-March-11-2020.pdf
2020-03-11,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,44.00,Price-Monitoring-March-11-2020.pdf
2020-03-11,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,36.00,Price-Monitoring-March-11-2020.pdf
