pmo,port_type,rolling_cargo_type,movement_type,service area,month,year,mont_year,Quarter,volume_units
pmo mandaue,lgu port,4W  1100-2300,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,4W  2400-over,inbound,domestic,january,2022,Jan-22,Q1_2022,43
pmo mandaue,lgu port,6W  4800-7500,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,6W  7600-15000,inbound,domestic,january,2022,Jan-22,Q1_2022,43
pmo mandaue,lgu port,8W-10W  20000-25000,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,10W  26000-over,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Heavy Equipment,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Motor Cycle/ Motor Bike,outbound,domestic,january,2022,Jan-22,Q1_2022,49
pmo mandaue,lgu port,4W  1100-2300,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,4W  2400-over,outbound,domestic,january,2022,Jan-22,Q1_2022,49
pmo mandaue,lgu port,6W  4800-7500,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,6W  7600-15000,outbound,domestic,january,2022,Jan-22,Q1_2022,47
pmo mandaue,lgu port,8W-10W  20000-25000,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,10W  26000-over,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo mandaue,lgu port,Heavy Equipment,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,cpa port,Motor Cycle/ Motor Bike,inbound,domestic,january,2022,Jan-22,Q1_2022,1493
pmo danao,cpa port,4W  1100-2300,inbound,domestic,january,2022,Jan-22,Q1_2022,1050
pmo danao,cpa port,4W  2400-over,inbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo danao,cpa port,6W  4800-7500,inbound,domestic,january,2022,Jan-22,Q1_2022,846
pmo danao,cpa port,6W  7600-15000,inbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo danao,cpa port,8W-10W  20000-25000,inbound,domestic,january,2022,Jan-22,Q1_2022,2329
pmo danao,cpa port,10W  26000-over,inbound,domestic,january,2022,Jan-22,Q1_2022,236
pmo danao,cpa port,Heavy Equipment,inbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo danao,cpa port,Motor Cycle/ Motor Bike,outbound,domestic,january,2022,Jan-22,Q1_2022,1179
pmo danao,cpa port,4W  1100-2300,outbound,domestic,january,2022,Jan-22,Q1_2022,1009
pmo danao,cpa port,4W  2400-over,outbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo danao,cpa port,6W  4800-7500,outbound,domestic,january,2022,Jan-22,Q1_2022,860
pmo danao,cpa port,6W  7600-15000,outbound,domestic,january,2022,Jan-22,Q1_2022,0
pmo danao,cpa port,8W-10W  20000-25000,outbound,domestic,january,2022,Jan-22,Q1_2022,2442
pmo danao,cpa port,10W  26000-over,outbound,domestic,january,2022,Jan-22,Q1_2022,261
pmo danao,cpa port,Heavy Equipment,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,Motor Cycle/ Motor Bike,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,4W  1100-2300,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,4W  2400-over,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,6W  4800-7500,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,6W  7600-15000,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo danao,lgu port,8W-10W  20000-25000,inbound,domestic,january,2022,Jan-22,Q1_2022,
