pmo,port_type,ship_type,movement_type,month,year,mont_year,Quarter,   count   
pmo cip,lgu port,Anchorage Yacht,domestic,july,2022,Jul-22,Q3_2022,
pmo cip,lgu port,Anchorage Roro,domestic,july,2022,Jul-22,Q3_2022,
pmo cip,lgu port,Conventional Bulk,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,lgu port,Conventional Breakbulk,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,lgu port,Container,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,lgu port,Roro,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,lgu port,Motor Tug,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,lgu port,Yacht,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,lgu port,Anchorage Bulk,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,lgu port,Anchorage Breakbulk,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,lgu port,Anchorage Container,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,lgu port,Anchorage Motor Tug,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,lgu port,Cruise Ship,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,lgu port,Survey Vessel,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,lgu port,Anchorage Yacht,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Anchorage Yacht,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Conventional Bulk,domestic,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Conventional Breakbulk,domestic,july,2022,Jul-22,Q3_2022,7
pmo cip,private port,Barge,domestic,july,2022,Jul-22,Q3_2022,1
pmo cip,private port,Container,domestic,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Roro,domestic,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Fastcraft,domestic,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Motor Launch,domestic,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Bay and River,domestic,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Metro Ferry,domestic,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Fishing Boat,domestic,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Motor Tug,domestic,july,2022,Jul-22,Q3_2022,1
pmo cip,private port,Yacht,domestic,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Anchorage Bulk,domestic,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Anchorage Breakbulk,domestic,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Anchorage Container,domestic,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Anchorage Motor Tug,domestic,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Anchorage Yacht,domestic,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Anchorage Roro,domestic,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Conventional Bulk,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Conventional Breakbulk,foreign,july,2022,Jul-22,Q3_2022,3
pmo cip,private port,Container,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Roro,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Motor Tug,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Yacht,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Anchorage Bulk,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Anchorage Breakbulk,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Anchorage Container,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Anchorage Motor Tug,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Cruise Ship,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Survey Vessel,foreign,july,2022,Jul-22,Q3_2022,
pmo cip,private port,Anchorage Yacht,foreign,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Conventional Bulk,domestic,july,2022,Jul-22,Q3_2022,1
pmo pier 4,cpa port,Conventional Breakbulk,domestic,july,2022,Jul-22,Q3_2022,15
pmo pier 4,cpa port,Barge,domestic,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Container,domestic,july,2022,Jul-22,Q3_2022,94
pmo pier 4,cpa port,Roro,domestic,july,2022,Jul-22,Q3_2022,257
pmo pier 4,cpa port,Fastcraft,domestic,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Motor Launch,domestic,july,2022,Jul-22,Q3_2022,1
pmo pier 4,cpa port,Bay and River,domestic,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Metro Ferry,domestic,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Fishing Boat,domestic,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Motor Tug,domestic,july,2022,Jul-22,Q3_2022,13
pmo pier 4,cpa port,Yacht,domestic,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Anchorage Bulk,domestic,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Anchorage Breakbulk,domestic,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Anchorage Container,domestic,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Anchorage Motor Tug,domestic,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Anchorage Yacht,domestic,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Anchorage Roro,domestic,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Conventional Bulk,foreign,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Conventional Breakbulk,foreign,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Container,foreign,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Roro,foreign,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Motor Tug,foreign,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Yacht,foreign,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Anchorage Bulk,foreign,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Anchorage Breakbulk,foreign,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Anchorage Container,foreign,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Anchorage Motor Tug,foreign,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Cruise Ship,foreign,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Survey Vessel,foreign,july,2022,Jul-22,Q3_2022,
pmo pier 4,cpa port,Anchorage Yacht,foreign,july,2022,Jul-22,Q3_2022,
pmo pier 3,cpa port,Conventional Bulk,domestic,july,2022,Jul-22,Q3_2022,25
pmo pier 3,cpa port,Conventional Breakbulk,domestic,july,2022,Jul-22,Q3_2022,74
pmo pier 3,cpa port,Barge,domestic,july,2022,Jul-22,Q3_2022,0
pmo pier 3,cpa port,Container,domestic,july,2022,Jul-22,Q3_2022,12
pmo pier 3,cpa port,Roro,domestic,july,2022,Jul-22,Q3_2022,257
pmo pier 3,cpa port,Fastcraft,domestic,july,2022,Jul-22,Q3_2022,113
pmo pier 3,cpa port,Motor Launch,domestic,july,2022,Jul-22,Q3_2022,0
pmo pier 3,cpa port,Bay and River,domestic,july,2022,Jul-22,Q3_2022,863
pmo pier 3,cpa port,Metro Ferry,domestic,july,2022,Jul-22,Q3_2022,0
pmo pier 3,cpa port,Fishing Boat,domestic,july,2022,Jul-22,Q3_2022,0
pmo pier 3,cpa port,Motor Tug,domestic,july,2022,Jul-22,Q3_2022,0
pmo pier 3,cpa port,Yacht,domestic,july,2022,Jul-22,Q3_2022,0
pmo pier 3,cpa port,Anchorage Bulk,domestic,july,2022,Jul-22,Q3_2022,0
pmo pier 3,cpa port,Anchorage Breakbulk,domestic,july,2022,Jul-22,Q3_2022,0
pmo pier 3,cpa port,Anchorage Container,domestic,july,2022,Jul-22,Q3_2022,0
pmo pier 3,cpa port,Anchorage Motor Tug,domestic,july,2022,Jul-22,Q3_2022,0
pmo pier 3,cpa port,Anchorage Yacht,domestic,july,2022,Jul-22,Q3_2022,0
pmo pier 3,cpa port,Anchorage Roro,domestic,july,2022,Jul-22,Q3_2022,0
pmo pier 1,cpa port,Conventional Breakbulk,Domestic,July,2022,Jul-22,Q3_2022,31
pmo pier 1,cpa port,Conventional Bulk,Domestic,July,2022,Jul-22,Q3_2022,10
pmo pier 1,cpa port,Fastcraft,Domestic,July,2022,Jul-22,Q3_2022,510
pmo pier 1,cpa port,Motor Launch,Domestic,July,2022,Jul-22,Q3_2022,19
pmo pier 1,cpa port,Motor Tug,Domestic,July,2022,Jul-22,Q3_2022,4
pmo pier 1,cpa port,Roro,Domestic,July,2022,Jul-22,Q3_2022,187
pmo pier 1,cpa port,Conventional Bulk,Foreign,July,2022,Jul-22,Q3_2022,7
pmo pier 1,private port,Container,Domestic,July,2022,Jul-22,Q3_2022,12
pmo pier 1,private port,Conventional Breakbulk,Domestic,July,2022,Jul-22,Q3_2022,73
pmo pier 1,private port,Conventional Bulk,Domestic,July,2022,Jul-22,Q3_2022,4
pmo pier 1,private port,Roro,Domestic,July,2022,Jul-22,Q3_2022,5
pmo pier 1,cpa port,Anchorage Breakbulk,Domestic,July,2022,Jul-22,Q3_2022,24
pmo pier 1,cpa port,Anchorage Bulk,Domestic,July,2022,Jul-22,Q3_2022,2
pmo pier 1,cpa port,Anchorage Motor Tug,Domestic,July,2022,Jul-22,Q3_2022,14
pmo pier 1,cpa port,Anchorage Roro,Domestic,July,2022,Jul-22,Q3_2022,2
pmo pier 1,cpa port,Anchorage Container,Foreign,July,2022,Jul-22,Q3_2022,1
pmo pier 1,cpa port,Anchorage Breakbulk,Foreign,July,2022,Jul-22,Q3_2022,2
pmo pier 1,cpa port,Anchorage Bulk,Foreign,July,2022,Jul-22,Q3_2022,4
pmo pier 1,cpa port,Anchorage Motor Tug,Foreign,July,2022,Jul-22,Q3_2022,1
pmo mandaue,private port,Conventional Bulk,domestic,july,2022,Jul-22,Q3_2022,240
pmo mandaue,private port,Conventional Breakbulk,domestic,july,2022,Jul-22,Q3_2022,37
pmo mandaue,private port,Barge,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,private port,Container,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,private port,Roro,domestic,july,2022,Jul-22,Q3_2022,224
pmo mandaue,private port,Fastcraft,domestic,july,2022,Jul-22,Q3_2022,3
pmo mandaue,private port,Motor Launch,domestic,july,2022,Jul-22,Q3_2022,7
pmo mandaue,private port,Bay and River,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,private port,Metro Ferry,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,private port,Fishing Boat,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,private port,Motor Tug,domestic,july,2022,Jul-22,Q3_2022,35
pmo mandaue,private port,Yacht,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,private port,Anchorage Bulk,domestic,july,2022,Jul-22,Q3_2022,58
pmo mandaue,private port,Anchorage Breakbulk,domestic,july,2022,Jul-22,Q3_2022,5
pmo mandaue,private port,Anchorage Container,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,private port,Anchorage Motor Tug,domestic,july,2022,Jul-22,Q3_2022,14
pmo mandaue,private port,Anchorage Yacht,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,private port,Anchorage Roro,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,private port,Conventional Bulk,foreign,july,2022,Jul-22,Q3_2022,7
pmo mandaue,private port,Conventional Breakbulk,foreign,july,2022,Jul-22,Q3_2022,1
pmo mandaue,private port,Container,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,private port,Roro,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,private port,Motor Tug,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,private port,Yacht,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,private port,Anchorage Bulk,foreign,july,2022,Jul-22,Q3_2022,2
pmo mandaue,private port,Anchorage Breakbulk,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,private port,Anchorage Container,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,private port,Anchorage Motor Tug,foreign,july,2022,Jul-22,Q3_2022,1
pmo mandaue,private port,Cruise Ship,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,private port,Survey Vessel,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,private port,Anchorage Yacht,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Conventional Bulk,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Conventional Breakbulk,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Barge,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Container,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Roro,domestic,july,2022,Jul-22,Q3_2022,45
pmo mandaue,cpa port,Fastcraft,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Motor Launch,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Bay and River,domestic,july,2022,Jul-22,Q3_2022,971
pmo mandaue,cpa port,Metro Ferry,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Fishing Boat,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Motor Tug,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Yacht,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Anchorage Bulk,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Anchorage Breakbulk,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Anchorage Container,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Anchorage Motor Tug,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Anchorage Yacht,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Anchorage Roro,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Conventional Bulk,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Conventional Breakbulk,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Container,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Roro,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Motor Tug,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Yacht,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Anchorage Bulk,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Anchorage Breakbulk,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Anchorage Container,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Anchorage Motor Tug,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Cruise Ship,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Survey Vessel,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,cpa port,Anchorage Yacht,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Conventional Bulk,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Conventional Breakbulk,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Barge,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Container,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Roro,domestic,july,2022,Jul-22,Q3_2022,42
pmo mandaue,lgu port,Fastcraft,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Motor Launch,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Bay and River,domestic,july,2022,Jul-22,Q3_2022,812
pmo mandaue,lgu port,Metro Ferry,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Fishing Boat,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Motor Tug,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Yacht,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Anchorage Bulk,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Anchorage Breakbulk,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Anchorage Container,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Anchorage Motor Tug,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Anchorage Yacht,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Anchorage Roro,domestic,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Conventional Bulk,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Conventional Breakbulk,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Container,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Roro,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Motor Tug,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Yacht,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Anchorage Bulk,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Anchorage Breakbulk,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Anchorage Container,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Anchorage Motor Tug,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Cruise Ship,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Survey Vessel,foreign,july,2022,Jul-22,Q3_2022,
pmo mandaue,lgu port,Anchorage Yacht,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Conventional Bulk,domestic,july,2022,Jul-22,Q3_2022,4
pmo sta fe,cpa port,Conventional Breakbulk,domestic,july,2022,Jul-22,Q3_2022,45
pmo sta fe,cpa port,Barge,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Container,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Roro,domestic,july,2022,Jul-22,Q3_2022,1044
pmo sta fe,cpa port,Fastcraft,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Motor Launch,domestic,july,2022,Jul-22,Q3_2022,35
pmo sta fe,cpa port,Bay and River,domestic,july,2022,Jul-22,Q3_2022,324
pmo sta fe,cpa port,Metro Ferry,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Fishing Boat,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Motor Tug,domestic,july,2022,Jul-22,Q3_2022,1
pmo sta fe,cpa port,Yacht,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Anchorage Bulk,domestic,july,2022,Jul-22,Q3_2022,1
pmo sta fe,cpa port,Anchorage Breakbulk,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Anchorage Container,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Anchorage Motor Tug,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Anchorage Yacht,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Anchorage Roro,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Conventional Bulk,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Conventional Breakbulk,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Container,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Roro,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Motor Tug,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Yacht,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Anchorage Bulk,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Anchorage Breakbulk,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Anchorage Container,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Anchorage Motor Tug,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Cruise Ship,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Survey Vessel,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,cpa port,Anchorage Yacht,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Conventional Bulk,domestic,july,2022,Jul-22,Q3_2022,4
pmo sta fe,lgu port,Conventional Breakbulk,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Barge,domestic,july,2022,Jul-22,Q3_2022,1
pmo sta fe,lgu port,Container,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Roro,domestic,july,2022,Jul-22,Q3_2022,101
pmo sta fe,lgu port,Fastcraft,domestic,july,2022,Jul-22,Q3_2022,19
pmo sta fe,lgu port,Motor Launch,domestic,july,2022,Jul-22,Q3_2022,31
pmo sta fe,lgu port,Bay and River,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Metro Ferry,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Fishing Boat,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Motor Tug,domestic,july,2022,Jul-22,Q3_2022,3
pmo sta fe,lgu port,Yacht,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Anchorage Bulk,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Anchorage Breakbulk,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Anchorage Container,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Anchorage Motor Tug,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Anchorage Yacht,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Anchorage Roro,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Conventional Bulk,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Conventional Breakbulk,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Container,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Roro,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Motor Tug,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Yacht,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Anchorage Bulk,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Anchorage Breakbulk,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Anchorage Container,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Anchorage Motor Tug,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Cruise Ship,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Survey Vessel,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,lgu port,Anchorage Yacht,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Anchorage Yacht,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Conventional Bulk,domestic,july,2022,Jul-22,Q3_2022,1
pmo sta fe,private port,Conventional Breakbulk,domestic,july,2022,Jul-22,Q3_2022,3
pmo sta fe,private port,Barge,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Container,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Roro,domestic,july,2022,Jul-22,Q3_2022,9
pmo sta fe,private port,Fastcraft,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Motor Launch,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Bay and River,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Metro Ferry,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Fishing Boat,domestic,july,2022,Jul-22,Q3_2022,9
pmo sta fe,private port,Motor Tug,domestic,july,2022,Jul-22,Q3_2022,3
pmo sta fe,private port,Yacht,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Anchorage Barge,domestic,july,2022,Jul-22,Q3_2022,4
pmo sta fe,private port,Anchorage Bulk,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Anchorage Breakbulk,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Anchorage Container,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Anchorage Motor Tug,domestic,july,2022,Jul-22,Q3_2022,5
pmo sta fe,private port,Anchorage Yacht,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Anchorage Roro,domestic,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Conventional Bulk,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Conventional Breakbulk,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Container,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Roro,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Motor Tug,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Yacht,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Anchorage Bulk,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Anchorage Breakbulk,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Anchorage Container,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Anchorage Motor Tug,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Cruise Ship,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Survey Vessel,foreign,july,2022,Jul-22,Q3_2022,
pmo sta fe,private port,Anchorage Yacht,foreign,july,2022,Jul-22,Q3_2022,
pmo toledo,cpa port,Conventional Bulk,domestic,july,2022,Jul-22,Q3_2022,4
pmo toledo,cpa port,Conventional Breakbulk,domestic,july,2022,Jul-22,Q3_2022,5
pmo toledo,cpa port,Barge,domestic,july,2022,Jul-22,Q3_2022,
pmo toledo,cpa port,Container,domestic,july,2022,Jul-22,Q3_2022,
pmo toledo,cpa port,Roro,domestic,july,2022,Jul-22,Q3_2022,269
pmo toledo,cpa port,Fastcraft,domestic,july,2022,Jul-22,Q3_2022,
pmo toledo,cpa port,Motor Launch,domestic,july,2022,Jul-22,Q3_2022,
pmo toledo,cpa port,Bay and River,domestic,july,2022,Jul-22,Q3_2022,
pmo toledo,cpa port,Metro Ferry,domestic,july,2022,Jul-22,Q3_2022,
pmo toledo,cpa port,Fishing Boat,domestic,july,2022,Jul-22,Q3_2022,
pmo toledo,cpa port,Motor Tug,domestic,july,2022,Jul-22,Q3_2022,4
pmo toledo,cpa port,Yacht,domestic,july,2022,Jul-22,Q3_2022,
pmo toledo,cpa port,Anchorage Bulk,domestic,july,2022,Jul-22,Q3_2022,
pmo toledo,cpa port,Anchorage Breakbulk,domestic,july,2022,Jul-22,Q3_2022,
pmo toledo,cpa port,Anchorage Container,domestic,july,2022,Jul-22,Q3_2022,
pmo toledo,cpa port,Anchorage Motor Tug,domestic,july,2022,Jul-22,Q3_2022,
pmo toledo,cpa port,Anchorage Yacht,domestic,july,2022,Jul-22,Q3_2022,
pmo toledo,cpa port,Anchorage Roro,domestic,july,2022,Jul-22,Q3_2022,
