year,ticker,prev_close,close,return_pct,source
2017,AEV,70.8000,74.0000,4.52,PSE Edge
2018,AEV,74.0000,55.0000,-25.68,PSE Edge
2019,AEV,55.0000,51.5000,-6.36,PSE Edge
2020,AEV,51.5000,47.2500,-8.25,PSE Edge
2021,AEV,47.2500,54.4500,15.24,PSE Edge
2022,AEV,54.4500,57.7000,5.97,PSE Edge
2023,AEV,57.7000,44.6000,-22.70,PSE Edge
2024,AEV,44.6000,34.3500,-22.98,PSE Edge
2025,AEV,34.3500,28.0000,-18.49,PSE Edge
2026,AEV,28.0000,38.0000,35.71,PSE Edge
2015,AGI,22.5500,16.1000,-28.60,PSE Edge
2016,AGI,16.1000,12.7800,-20.62,PSE Edge
2017,AGI,12.7800,16.0000,25.20,PSE Edge
2018,AGI,16.0000,11.9000,-25.62,PSE Edge
2019,AGI,11.9000,11.6600,-2.02,PSE Edge
2020,AGI,11.6600,10.6000,-9.09,PSE Edge
2021,AGI,10.6000,11.8000,11.32,PSE Edge
2022,AGI,11.8000,11.9000,0.85,PSE Edge
2023,AGI,11.9000,11.2800,-5.21,PSE Edge
2024,AGI,11.2800,9.0000,-20.21,PSE Edge
2025,AGI,9.0000,8.1900,-9.00,PSE Edge
2026,AGI,8.1900,9.0100,10.01,PSE Edge
2015,ALI,33.7000,34.4500,2.23,PSE Edge
2016,ALI,34.4500,32.0000,-7.11,PSE Edge
2017,ALI,32.0000,44.6000,39.38,PSE Edge
2018,ALI,44.6000,40.6000,-8.97,PSE Edge
2019,ALI,40.6000,45.5000,12.07,PSE Edge
2020,ALI,45.5000,40.9000,-10.11,PSE Edge
2021,ALI,40.9000,36.7000,-10.27,PSE Edge
2022,ALI,36.7000,30.8000,-16.08,PSE Edge
2023,ALI,30.8000,34.4500,11.85,PSE Edge
2024,ALI,34.4500,26.2000,-23.95,PSE Edge
2025,ALI,26.2000,22.4500,-14.31,PSE Edge
2026,ALI,22.4500,15.0000,-33.18,PSE Edge
2015,ANS,6.7700,6.3800,-5.76,PSE Edge
2016,ANS,6.3800,6.0000,-5.96,PSE Edge
2017,ANS,6.0000,7.0500,17.50,PSE Edge
2018,ANS,7.0500,6.5000,-7.80,PSE Edge
2019,ANS,6.5000,6.4200,-1.23,PSE Edge
2020,ANS,6.4200,6.6000,2.80,PSE Edge
2021,ANS,6.6000,7.9500,20.45,PSE Edge
2022,ANS,7.9500,9.0400,13.71,PSE Edge
2023,ANS,9.0400,11.6600,28.98,PSE Edge
2024,ANS,11.6600,13.6800,17.32,PSE Edge
2025,ANS,13.6800,14.4000,5.26,PSE Edge
2026,ANS,14.4000,16.9000,17.36,PSE Edge
2015,AP,42.9000,41.7000,-2.80,PSE Edge
2016,AP,41.7000,41.7000,0.00,PSE Edge
2017,AP,41.7000,41.5500,-0.36,PSE Edge
2018,AP,41.5500,35.1000,-15.52,PSE Edge
2019,AP,35.1000,34.2000,-2.56,PSE Edge
2020,AP,34.2000,26.5500,-22.37,PSE Edge
2021,AP,26.5500,29.7000,11.86,PSE Edge
2022,AP,29.7000,34.0500,14.65,PSE Edge
2023,AP,34.0500,37.8000,11.01,PSE Edge
2024,AP,37.8000,37.7000,-0.26,PSE Edge
2025,AP,37.7000,44.0000,16.71,PSE Edge
2026,AP,44.0000,45.4000,3.18,PSE Edge
2015,APX,2.8000,1.8000,-35.71,PSE Edge
2016,APX,1.8000,2.6200,45.56,PSE Edge
2017,APX,2.6200,1.5500,-40.84,PSE Edge
2018,APX,1.5500,1.6700,7.74,PSE Edge
2019,APX,1.6700,0.9900,-40.72,PSE Edge
2020,APX,0.9900,1.7300,74.75,PSE Edge
2021,APX,1.7300,1.6100,-6.94,PSE Edge
2022,APX,1.6100,1.8500,14.91,PSE Edge
2023,APX,1.8500,3.0000,62.16,PSE Edge
2024,APX,3.0000,3.4500,15.00,PSE Edge
2025,APX,3.4500,12.4400,260.58,PSE Edge
2026,APX,12.4400,17.1800,38.10,PSE Edge
2021,AREIT,29.3500,48.6000,65.59,PSE Edge
2022,AREIT,48.6000,35.4000,-27.16,PSE Edge
2023,AREIT,35.4000,33.4000,-5.65,PSE Edge
2024,AREIT,33.4000,37.9500,13.62,PSE Edge
