date,ticker,close,value_php,source
2020-08-24,AGI,6.1,55256095.0,PSE Edge
2020-08-25,AGI,6.09,41016842.0,PSE Edge
2020-08-26,AGI,6.05,60553680.0,PSE Edge
2020-08-27,AGI,6.18,31134170.0,PSE Edge
2020-08-28,AGI,6.18,74346872.0,PSE Edge
2020-09-01,AGI,6.17,41649928.0,PSE Edge
2020-09-02,AGI,6.08,70551378.0,PSE Edge
2020-09-03,AGI,6.18,41851826.0,PSE Edge
2020-09-04,AGI,6.12,43340876.0,PSE Edge
2020-09-07,AGI,6.21,66692044.0,PSE Edge
2020-09-08,AGI,6.42,100823109.0,PSE Edge
2020-09-09,AGI,6.85,167414422.0,PSE Edge
2020-09-10,AGI,6.97,191758968.0,PSE Edge
2020-09-11,AGI,6.93,143355950.0,PSE Edge
2020-09-14,AGI,6.77,55288333.0,PSE Edge
2020-09-15,AGI,6.97,71571183.0,PSE Edge
2020-09-16,AGI,7.1,109198023.0,PSE Edge
2020-09-17,AGI,7.1,79867644.0,PSE Edge
2020-09-18,AGI,7.25,119660790.0,PSE Edge
2020-09-21,AGI,7.17,30792068.0,PSE Edge
2020-09-22,AGI,7.1,52871832.0,PSE Edge
2020-09-23,AGI,7.07,18420437.0,PSE Edge
2020-09-24,AGI,7.08,52716221.0,PSE Edge
2020-09-25,AGI,7.07,36333380.0,PSE Edge
2020-09-28,AGI,7.05,41086665.0,PSE Edge
2020-09-29,AGI,6.9,63773967.0,PSE Edge
2020-09-30,AGI,7.0,30810055.0,PSE Edge
2020-10-01,AGI,7.01,15106791.0,PSE Edge
2020-10-02,AGI,6.98,28319739.0,PSE Edge
2020-10-05,AGI,7.0,33159056.0,PSE Edge
2020-10-06,AGI,7.0,69471345.0,PSE Edge
2020-10-07,AGI,7.0,45682685.0,PSE Edge
2020-10-08,AGI,7.02,30225234.0,PSE Edge
2020-10-09,AGI,7.02,35323577.0,PSE Edge
2020-10-12,AGI,7.06,57639197.0,PSE Edge
2020-10-13,AGI,7.21,59559908.0,PSE Edge
2020-10-14,AGI,7.3,47348599.0,PSE Edge
2020-10-15,AGI,7.39,21627287.0,PSE Edge
2020-10-16,AGI,7.27,34745303.0,PSE Edge
2020-10-19,AGI,7.15,50360188.0,PSE Edge
2020-10-20,AGI,7.5,77944744.0,PSE Edge
2020-10-21,AGI,8.0,143450597.0,PSE Edge
2020-10-22,AGI,7.91,71180804.0,PSE Edge
2020-10-23,AGI,8.6,178182903.0,PSE Edge
2020-10-26,AGI,8.31,62458519.0,PSE Edge
2020-10-27,AGI,8.14,60571610.0,PSE Edge
2020-10-28,AGI,8.14,49673966.0,PSE Edge
2020-10-29,AGI,7.9,66578441.0,PSE Edge
2020-10-30,AGI,7.94,51215429.0,PSE Edge
2020-11-03,AGI,7.76,70426032.0,PSE Edge
2020-11-04,AGI,8.18,99338202.0,PSE Edge
2020-11-05,AGI,8.37,97606040.0,PSE Edge
2020-11-06,AGI,8.31,215462861.0,PSE Edge
2020-11-09,AGI,8.09,107784537.0,PSE Edge
2020-11-10,AGI,8.44,82837585.0,PSE Edge
2020-11-11,AGI,8.75,120212882.0,PSE Edge
2020-11-13,AGI,8.92,145817069.0,PSE Edge
2020-11-16,AGI,9.21,179566409.0,PSE Edge
2020-11-17,AGI,9.5,101561247.0,PSE Edge
2020-11-18,AGI,9.52,52539821.0,PSE Edge
2020-11-19,AGI,9.9,95641651.0,PSE Edge
2020-11-20,AGI,9.93,129672798.0,PSE Edge
2020-11-23,AGI,9.81,139074409.0,PSE Edge
2020-11-24,AGI,9.65,63580432.0,PSE Edge
2020-11-25,AGI,9.7,48898283.0,PSE Edge
2020-11-26,AGI,9.5,63455234.0,PSE Edge
2020-11-27,AGI,9.8,62511663.0,PSE Edge
2020-12-01,AGI,10.0,92790252.0,PSE Edge
2020-12-02,AGI,9.99,61754819.0,PSE Edge
2020-12-03,AGI,10.1,101500391.0,PSE Edge
2020-12-04,AGI,10.1,78468796.0,PSE Edge
2020-12-07,AGI,10.56,224148862.0,PSE Edge
2020-12-09,AGI,10.64,129502404.0,PSE Edge
2020-12-10,AGI,10.38,69205370.0,PSE Edge
2020-12-11,AGI,10.46,89206032.0,PSE Edge
2020-12-14,AGI,10.64,48878284.0,PSE Edge
2020-12-15,AGI,10.6,64628132.0,PSE Edge
2020-12-16,AGI,10.9,96795884.0,PSE Edge
2020-12-17,AGI,10.78,31370068.0,PSE Edge
2020-12-18,AGI,11.06,52848852.0,PSE Edge
2020-12-21,AGI,10.88,44337998.0,PSE Edge
2020-12-22,AGI,10.82,81510774.0,PSE Edge
2020-12-23,AGI,11.04,64032374.0,PSE Edge
2020-12-28,AGI,10.8,62467218.0,PSE Edge
2020-12-29,AGI,10.6,106274060.0,PSE Edge
2021-01-04,AGI,10.34,90026284.0,PSE Edge
2021-01-05,AGI,10.06,67335892.0,PSE Edge
2021-01-06,AGI,9.71,71216029.0,PSE Edge
2021-01-07,AGI,9.92,60607401.0,PSE Edge
2021-01-08,AGI,10.4,97007423.0,PSE Edge
2021-01-11,AGI,10.48,41075338.0,PSE Edge
2021-01-12,AGI,10.1,27534096.0,PSE Edge
2021-01-13,AGI,10.14,39482086.0,PSE Edge
2021-01-14,AGI,10.06,41310142.0,PSE Edge
2021-01-15,AGI,10.36,40039932.0,PSE Edge
2021-01-18,AGI,10.16,24122278.0,PSE Edge
