iso3,country,region,income_group,year,population,has_water_basic,has_water_safely_managed,has_sanitation_safely_managed,status,source
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Upper middle income,2020,110916,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,2024,2538952,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GBR,United Kingdom,Europe & Central Asia,High income,2024,69281000,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GEO,Georgia,Europe & Central Asia,Upper middle income,2024,3812518,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,2024,34427414,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GIB,Gibraltar,Europe & Central Asia,High income,2024,39329,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GIN,Guinea,Sub-Saharan Africa ,Lower middle income,2024,14754785,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GMB,"Gambia, The",Sub-Saharan Africa ,Low income,2024,2759988,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,2024,2201352,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,2017,1562396,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GRC,Greece,Europe & Central Asia,High income,2024,10405134,yes,yes,yes,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GRD,Grenada,Latin America & Caribbean ,Upper middle income,2024,117207,no,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GRL,Greenland,Europe & Central Asia,High income,2024,56836,yes,no,no,"basic only, no safely-managed estimate","WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,2024,18406359,yes,yes,no,reported,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
