iso3,country,year,residence,indicator,pct,source
AFG,Afghanistan,2002,urban,sanitation_safely_managed,10.294,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2002,urban,water_basic,58.8837,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2002,urban,water_safely_managed,22.5702,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2003,rural,sanitation_basic,22.3425,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2003,rural,sanitation_safely_managed,11.7506,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2003,rural,water_basic,26.2044,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2003,rural,water_safely_managed,10.1775,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2003,total,open_defecation,22.817,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2003,total,sanitation_basic,25.1601,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2003,total,sanitation_safely_managed,11.5763,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2003,total,water_basic,33.9086,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2003,total,water_safely_managed,13.1007,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2003,urban,sanitation_basic,34.9474,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2003,urban,sanitation_safely_managed,10.9709,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2003,urban,water_basic,60.6705,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2003,urban,water_safely_managed,23.2551,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2004,rural,sanitation_basic,23.7295,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2004,rural,sanitation_safely_managed,12.4869,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2004,rural,water_basic,28.318,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2004,rural,water_safely_managed,10.9984,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2004,total,open_defecation,22.2491,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2004,total,sanitation_basic,26.5927,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2004,total,sanitation_safely_managed,12.2981,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2004,total,water_basic,35.9994,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2004,total,water_safely_managed,13.9103,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2004,urban,sanitation_basic,36.4549,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2004,urban,sanitation_safely_managed,11.6479,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2004,urban,water_basic,62.4573,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2004,urban,water_safely_managed,23.9399,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2005,rural,handwashing_basic,26.3072,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
