scope,year,residence,indicator,pct,source
AFR,2005,urban,sanitation_basic,42.1571,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2005,urban,sanitation_safely_managed,27.5827,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2005,urban,water_basic,80.5659,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2005,urban,water_safely_managed,46.3065,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2006,rural,open_defecation,36.1739,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2006,rural,sanitation_basic,19.3305,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2006,rural,sanitation_safely_managed,15.9705,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2006,rural,water_basic,36.943,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2006,rural,water_safely_managed,8.8529,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2006,total,open_defecation,25.9451,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2006,total,sanitation_basic,27.7216,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2006,total,sanitation_safely_managed,20.2174,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2006,total,water_basic,52.6571,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2006,total,water_safely_managed,22.3467,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2006,urban,open_defecation,7.5587,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2006,urban,sanitation_basic,42.5969,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2006,urban,sanitation_safely_managed,27.8686,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2006,urban,water_basic,80.8677,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2006,urban,water_safely_managed,46.6576,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2007,rural,open_defecation,35.4913,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2007,rural,sanitation_basic,19.7301,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2007,rural,sanitation_safely_managed,16.3225,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2007,rural,water_basic,37.8385,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
