iso3,year,indicator,who_gho,world_bank,abs_diff,source
ALB,2007,open_defecation,1.0000,0.5215,0.4785,WHO GHO (rounded) vs World Bank WDI
TGO,2004,open_defecation,59.0000,59.4784,0.4784,WHO GHO (rounded) vs World Bank WDI
IRQ,2011,open_defecation,1.0000,1.4782,0.4782,WHO GHO (rounded) vs World Bank WDI
NER,2011,open_defecation,74.0000,74.4781,0.4781,WHO GHO (rounded) vs World Bank WDI
YEM,2014,open_defecation,16.0000,16.4781,0.4781,WHO GHO (rounded) vs World Bank WDI
MHL,2008,open_defecation,12.0000,11.5220,0.4780,WHO GHO (rounded) vs World Bank WDI
BLZ,2009,open_defecation,3.0000,2.5222,0.4778,WHO GHO (rounded) vs World Bank WDI
SYR,2003,open_defecation,1.0000,1.4778,0.4778,WHO GHO (rounded) vs World Bank WDI
NPL,2008,open_defecation,45.0000,44.5223,0.4777,WHO GHO (rounded) vs World Bank WDI
ECU,2014,open_defecation,5.0000,5.4775,0.4775,WHO GHO (rounded) vs World Bank WDI
FJI,2003,open_defecation,0.0000,0.4775,0.4775,WHO GHO (rounded) vs World Bank WDI
GHA,2007,open_defecation,20.0000,19.5227,0.4773,WHO GHO (rounded) vs World Bank WDI
PHL,2004,open_defecation,10.0000,9.5228,0.4772,WHO GHO (rounded) vs World Bank WDI
CRI,2007,open_defecation,1.0000,0.5229,0.4771,WHO GHO (rounded) vs World Bank WDI
GEO,2008,open_defecation,1.0000,0.5230,0.4770,WHO GHO (rounded) vs World Bank WDI
LCA,2001,open_defecation,8.0000,7.5232,0.4768,WHO GHO (rounded) vs World Bank WDI
CUB,2016,open_defecation,1.0000,0.5233,0.4767,WHO GHO (rounded) vs World Bank WDI
MLI,2008,open_defecation,13.0000,13.4761,0.4761,WHO GHO (rounded) vs World Bank WDI
PER,2023,open_defecation,3.0000,2.5240,0.4760,WHO GHO (rounded) vs World Bank WDI
ECU,2022,open_defecation,2.0000,2.4759,0.4759,WHO GHO (rounded) vs World Bank WDI
LBR,2013,open_defecation,44.0000,43.5245,0.4755,WHO GHO (rounded) vs World Bank WDI
LSO,2003,open_defecation,41.0000,41.4755,0.4755,WHO GHO (rounded) vs World Bank WDI
BEN,2003,open_defecation,65.0000,65.4754,0.4754,WHO GHO (rounded) vs World Bank WDI
