iso3,country,region,income_group,year,population,water_basic_pct,water_safely_managed_pct,basic_minus_safely_pts,sanitation_basic_pct,sanitation_safely_managed_pct,open_defecation_pct,handwashing_basic_pct,water_safely_managed_urban_pct,water_safely_managed_rural_pct,wash_deaths_per_100k,source
CUB,Cuba,Latin America & Caribbean ,Upper middle income,2024,10979783,95.15,,,94.77,45.88,0.17,93.4,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
CUW,Curacao,Latin America & Caribbean ,High income,2024,155967,100.0,,,,,,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
CYM,Cayman Islands,Latin America & Caribbean ,High income,2024,74457,95.46,,,83.24,,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
CYP,Cyprus,Europe & Central Asia,High income,2024,1358282,99.72,99.72,0.0,99.48,76.97,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
CZE,Czechia,Europe & Central Asia,High income,2024,10905028,98.73,98.14,0.59,99.07,91.38,0,,98.02,98.52,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
DEU,Germany,Europe & Central Asia,High income,2024,83516593,100.0,99.92,0.08,99.23,96.77,0,,100.0,99.64,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2024,1168722,79.66,,,,,,50.74,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
DMA,Dominica,Latin America & Caribbean ,Upper middle income,2024,66205,97.0,,,,,,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
DNK,Denmark,Europe & Central Asia,High income,2024,5976992,100.0,99.92,0.08,99.6,98.9,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,2024,11427557,97.46,45.33,52.13,90.12,42.97,1.67,48.53,46.95,36.18,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2024,46814308,92.42,69.03,23.39,85.91,62.49,0.04,84.93,72.13,59.35,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,2024,18135478,92.07,69.89,22.18,91.2,49.29,1.71,91.94,82.35,46.7,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2024,116538258,97.3,78.94,18.36,97.09,57.34,0,92.31,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ERI,Eritrea,Sub-Saharan Africa ,Low income,2016,3124698,51.85,,,11.94,,67.0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ESP,Spain,Europe & Central Asia,High income,2024,48848840,99.92,99.46,0.46,99.92,88.28,0,,99.65,98.6,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
EST,Estonia,Europe & Central Asia,High income,2024,1372341,100.0,98.94,1.06,99.02,90.56,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
ETH,Ethiopia,Sub-Saharan Africa ,Low income,2024,132059767,55.6,13.55,42.05,10.36,8.05,16.23,5.85,38.39,5.85,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
FIN,Finland,Europe & Central Asia,High income,2024,5619911,100.0,99.65,0.35,99.45,90.12,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
FJI,Fiji,East Asia & Pacific,Upper middle income,2024,928784,95.56,42.11,53.45,92.75,48.5,0,86.63,52.53,27.0,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
FRA,France,Europe & Central Asia,High income,2024,68551653,100.0,99.71,0.29,98.64,89.99,0,,100.0,98.4,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
FRO,Faroe Islands,Europe & Central Asia,High income,2024,54640,100.0,,,,,,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Upper middle income,2020,110916,89.88,,,90.45,,,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,2024,2538952,88.6,,,57.4,,1.34,48.17,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GBR,United Kingdom,Europe & Central Asia,High income,2024,69281000,100.0,99.82,0.18,99.1,97.84,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GEO,Georgia,Europe & Central Asia,Upper middle income,2024,3812518,97.29,70.53,26.76,90.68,62.97,0.0,,89.31,40.95,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,2024,34427414,89.92,42.94,46.98,31.58,18.76,17.79,45.48,60.23,17.16,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GIB,Gibraltar,Europe & Central Asia,High income,2024,39329,100.0,100.0,0.0,100.0,,0,,100.0,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GIN,Guinea,Sub-Saharan Africa ,Lower middle income,2024,14754785,74.19,,,32.65,,4.66,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GMB,"Gambia, The",Sub-Saharan Africa ,Low income,2024,2759988,87.1,48.18,38.92,48.17,28.09,0.05,12.96,68.43,10.44,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,2024,2201352,61.81,23.99,37.82,28.94,22.6,7.74,19.76,36.08,13.72,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,2017,1562396,64.67,,,66.31,,2.85,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
GRC,Greece,Europe & Central Asia,High income,2024,10405134,100.0,96.69,3.31,99.01,92.89,0,,,,,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
