fac_id,name,city,country,continent,net_count,ix_count,carrier_count,latitude,longitude,source
14022,Aranet AUX1,Araguaína,BR,South America,4,0,0,-7.180588,-48.206546,"PeeringDB, peeringdb.com/api"
14023,Aranet AUX2,Araguaína,BR,South America,2,0,0,,,"PeeringDB, peeringdb.com/api"
14024,TVC,Auckland,NZ,Asia Pacific,0,0,0,-36.848071,174.760694,"PeeringDB, peeringdb.com/api"
14028,LINKEAR SRL,Moreno,AR,South America,7,1,1,-34.632822,-58.790645,"PeeringDB, peeringdb.com/api"
14039,IBH Dresden C2,Dresden,DE,Europe,4,1,0,51.008853,13.704345,"PeeringDB, peeringdb.com/api"
14045,Cabase CNQ,Corrientes,AR,South America,0,0,0,-27.472261,-58.818661,"PeeringDB, peeringdb.com/api"
14049,STT Jakarta 1,Bekasi,ID,Asia Pacific,2,1,0,-6.373337,107.201313,"PeeringDB, peeringdb.com/api"
14059,Hostzone Data Center CGE1,Campina Grande,BR,South America,1,0,0,,,"PeeringDB, peeringdb.com/api"
14068,Interconnect Services DC3 's-Hertogenbosch,'s-Hertogenbosch,NL,Europe,5,1,5,51.691408,5.353065,"PeeringDB, peeringdb.com/api"
14075,Mauritius Telecom RBDC,Rose Belle,MU,Africa,0,0,0,-20.420012,57.609248,"PeeringDB, peeringdb.com/api"
14076,Mauritius Telecom RHDC,Rose Hill,MU,Africa,0,0,0,,,"PeeringDB, peeringdb.com/api"
14082,RUBIX DATACENTER - DC-1,Le Creusot,FR,Europe,0,0,0,,,"PeeringDB, peeringdb.com/api"
14083,Transworld Associates Datacenter,Islamabad,PK,Asia Pacific,2,0,0,,,"PeeringDB, peeringdb.com/api"
14086,VeloxServ Wolverhampton Central,Wolverhampton,GB,Europe,1,0,0,52.587498,-2.123163,"PeeringDB, peeringdb.com/api"
14088,IBH Dresden C1,Dresden,DE,Europe,2,0,0,51.008853,13.704345,"PeeringDB, peeringdb.com/api"
14096,OASIX ALICANTE AIRENETWORKS,Elche,ES,Europe,0,0,0,38.291392,-0.611276,"PeeringDB, peeringdb.com/api"
14099,STT Singapore 6,Singapore,SG,Asia Pacific,1,0,0,1.37219,103.964775,"PeeringDB, peeringdb.com/api"
14101,FIBERSTATE Salt Lake City (SLC1),Draper,US,North America,24,1,0,40.511814,-111.887967,"PeeringDB, peeringdb.com/api"
14102,IIX-Katim,Kalimantan Timur,ID,Asia Pacific,4,0,0,-1.277078,116.830405,"PeeringDB, peeringdb.com/api"
14104,Telia Vilnius 1,Vilnius,LT,Europe,0,0,0,54.675458,25.266602,"PeeringDB, peeringdb.com/api"
14105,Telia Vilnius 2,Vilnius,LT,Europe,0,0,0,54.724094,25.297332,"PeeringDB, peeringdb.com/api"
14111,Digital Connexion MAA10 Chennai (Ambattur),Chennai,IN,Asia Pacific,5,1,2,13.1008,80.16404,"PeeringDB, peeringdb.com/api"
14113,Halton Datacenter - Milton1,Milton,CA,North America,0,0,0,43.543149,-79.880871,"PeeringDB, peeringdb.com/api"
14115,NETICENTER,Bouillargues,FR,Europe,2,0,1,43.809975,4.409087,"PeeringDB, peeringdb.com/api"
14116,Extreme RDC,Ghaziabad,IN,Asia Pacific,2,1,0,28.675216,77.441273,"PeeringDB, peeringdb.com/api"
14117,Extreme Laxminagar,Delhi,IN,Asia Pacific,3,1,0,28.639031,77.284699,"PeeringDB, peeringdb.com/api"
14122,Equinix MT2,Vaudreuil-Dorion,CA,North America,0,0,0,45.411764,-74.050381,"PeeringDB, peeringdb.com/api"
14125,ScaleUp Datacenter NUE1,Fürth,DE,Europe,2,0,1,49.45367,11.005389,"PeeringDB, peeringdb.com/api"
14127,Opciones - Concepción,Concepción,CL,South America,0,1,0,-36.815773,-73.048431,"PeeringDB, peeringdb.com/api"
14128,Opciones - Puerto Montt,Puerto Montt,CL,South America,0,0,0,-41.467594,-72.940289,"PeeringDB, peeringdb.com/api"
14129,Silica Networks - (BUE01),Wilde,AR,South America,6,0,0,-34.688305,-58.312665,"PeeringDB, peeringdb.com/api"
14130,Silica Networks - Data Center Nubicua (OSO01),Las Lumas,CL,South America,1,0,0,-40.591393,-72.952984,"PeeringDB, peeringdb.com/api"
14131,Silica Networks - (AEP01),Buenos Aires,AR,South America,2,0,0,-34.600638,-58.374123,"PeeringDB, peeringdb.com/api"
14135,Namex Napoli - Università Parthenope,Naples,IT,Europe,8,1,1,40.832179,14.245272,"PeeringDB, peeringdb.com/api"
14137,Datema Bilişim Tic. A.Ş. - DATACASA VERİ MERKEZİ,Istanbul,TR,Middle East,10,1,1,,,"PeeringDB, peeringdb.com/api"
14139,UPIX EDGE SUZANO 01,Suzano,US,North America,0,0,0,,,"PeeringDB, peeringdb.com/api"
14140,UPIX EDGE SAO JOSE DOS CAMPOS,São José dos Campos,BR,South America,0,0,0,-23.192051,-45.891168,"PeeringDB, peeringdb.com/api"
14147,99IT,Dhaka,BD,Asia Pacific,1,0,0,23.751038,90.440169,"PeeringDB, peeringdb.com/api"
14149,ColoradoColo - Lakewood (LKWD),Lakewood,US,North America,2,0,0,39.728305,-105.122436,"PeeringDB, peeringdb.com/api"
14156,PJM NET - IDC-CG,Campina Grande,BR,South America,4,0,0,-7.270324,-35.92206,"PeeringDB, peeringdb.com/api"
14166,icolo.io Nairobi Two (NBO2),Karen,KE,Africa,2,1,0,-1.352546,36.752083,"PeeringDB, peeringdb.com/api"
14174,Systemia.pl Sp. z o.o.,Poznan,PL,Europe,0,0,0,52.445844,16.954819,"PeeringDB, peeringdb.com/api"
14176,NTT Fukuoka Tenjin Data Center,Hakata,JP,Asia Pacific,2,2,1,,,"PeeringDB, peeringdb.com/api"
14177,Peace Communications CHA1,Chattanooga,US,North America,1,0,0,35.03746,-85.293181,"PeeringDB, peeringdb.com/api"
14178,Peace Communications HSV1,Huntsville,US,North America,1,0,0,34.699841,-86.593493,"PeeringDB, peeringdb.com/api"
14179,AT TOKYO (HC1 HOTnet Sapporo(SDC)),Sapporo,JP,Asia Pacific,0,0,0,,,"PeeringDB, peeringdb.com/api"
14189,Midwest Energy & Communications,Cassopolics,US,North America,0,0,0,41.919049,-85.973476,"PeeringDB, peeringdb.com/api"
14193,Mainstream Little Rock,Little Rock,US,North America,4,0,0,34.744124,-92.274415,"PeeringDB, peeringdb.com/api"
14198,CloudOgre,Mill Spring,US,North America,0,0,0,35.299848,-82.160867,"PeeringDB, peeringdb.com/api"
14205,Kuzey Veri Merkezi,Cekmekoy,TR,Middle East,3,0,0,41.025592,29.179766,"PeeringDB, peeringdb.com/api"
14206,STT Bangkok 2,Bangkok,TH,Asia Pacific,2,1,0,13.757295,100.632435,"PeeringDB, peeringdb.com/api"
14207,STT Bangkok 3,Bangkok,TH,Asia Pacific,9,1,0,13.731617,100.547893,"PeeringDB, peeringdb.com/api"
14211,JC2,Jakarta  Cibitung,ID,Asia Pacific,2,0,0,-6.314389,107.090381,"PeeringDB, peeringdb.com/api"
14212,Tech.ru DC2,Moscow,RU,Europe,1,0,0,55.819504,37.643887,"PeeringDB, peeringdb.com/api"
14213,Tech.ru DC4,Moscow,RU,Europe,5,0,0,55.67862,37.644832,"PeeringDB, peeringdb.com/api"
14214,ETIX Paris #3,Vélizy-Villacoublay,FR,Europe,7,0,0,48.780725,2.217476,"PeeringDB, peeringdb.com/api"
14220,Equinix PA10 - Paris  Saint-Denis,Paris,FR,Europe,18,3,5,48.92817,2.352084,"PeeringDB, peeringdb.com/api"
14224,DC BLOX GSP1 - DCBLOX Greenville,Greenville,US,North America,2,0,1,34.806553,-82.345891,"PeeringDB, peeringdb.com/api"
14229,ESDS Bengaluru,Bangalore,IN,Asia Pacific,1,0,0,12.838728,77.663899,"PeeringDB, peeringdb.com/api"
14230,ESDS Mohali,Mohali,IN,Asia Pacific,1,0,0,,,"PeeringDB, peeringdb.com/api"
14233,Adam - PTV,Cerdanyola del Vallès,ES,Europe,6,0,0,41.484761,2.127266,"PeeringDB, peeringdb.com/api"
14234,Adam - MAD,Alcalá de Henares,ES,Europe,3,0,0,40.514618,-3.338656,"PeeringDB, peeringdb.com/api"
14235,Adam - BCN,Barcelona,ES,Europe,1,0,0,41.408865,2.170067,"PeeringDB, peeringdb.com/api"
14242,Silica Networks - (TNS01),Las Toninas,AR,South America,0,0,0,-36.486322,-56.708797,"PeeringDB, peeringdb.com/api"
14254,ESDS Airoli,Airoli,IN,Asia Pacific,0,0,0,19.169975,73.001355,"PeeringDB, peeringdb.com/api"
14256,Ixpanse AN1,Cankaya,TR,Middle East,0,0,0,39.909829,32.796597,"PeeringDB, peeringdb.com/api"
14264,SMRWORXA - Somerset West Central Office,Portland,US,North America,2,1,1,45.546391,-122.866777,"PeeringDB, peeringdb.com/api"
14265,HLBOORXH - Hawthorne Central Office,Hillsboro,US,North America,1,0,1,45.551374,-122.937143,"PeeringDB, peeringdb.com/api"
14266,BVTNORXB - Beaverton Central Office,Beaverton,US,North America,1,0,0,45.490175,-122.811642,"PeeringDB, peeringdb.com/api"
14267,GRHMORXB - Gresham Central Office,Gresham,US,North America,1,0,0,45.510725,-122.431708,"PeeringDB, peeringdb.com/api"
14268,TGRDORXA - Tigard Central Office,Tigard,US,North America,1,0,0,45.42558,-122.768572,"PeeringDB, peeringdb.com/api"
14269,KNWCWAXA - Kennewick Central Office,Kennewick,US,North America,1,0,1,46.212947,-119.187198,"PeeringDB, peeringdb.com/api"
14270,EVRTWAXA - Everett Primary Central Office,Everett,US,North America,1,0,1,47.921151,-122.226913,"PeeringDB, peeringdb.com/api"
14272,BOTHWAXB - Bothell Central Office,Bothell,US,North America,1,0,1,47.790938,-122.201932,"PeeringDB, peeringdb.com/api"
14273,CRALIDXX - Coeur d'Alene Central Office,Coeur d'Alene,US,North America,1,0,1,47.696497,-116.787537,"PeeringDB, peeringdb.com/api"
14274,Telecentro - Lomas del Mirador,Lomas del Mirador,AR,South America,1,0,0,-34.671615,-58.537447,"PeeringDB, peeringdb.com/api"
14279,Data 4 Warszawy,Jawczyce,PL,Europe,2,0,0,52.211499,20.850628,"PeeringDB, peeringdb.com/api"
14280,Data Holdings Milwaukee,Milwaukee,US,North America,2,1,2,43.044331,-87.954079,"PeeringDB, peeringdb.com/api"
14282,Konesali Yhtiöt Jyväskylä,Jyväskylä,FI,Europe,1,0,1,62.241994,25.74442,"PeeringDB, peeringdb.com/api"
14304,A Cloud Planet DC-1,Banani,BD,Asia Pacific,2,0,0,23.792697,90.402958,"PeeringDB, peeringdb.com/api"
14310,CPD Titan,Murcia,ES,Europe,8,0,0,38.029681,-1.163561,"PeeringDB, peeringdb.com/api"
14311,Enovum Datacenters MTL01,Montreal,CA,North America,3,0,0,45.508602,-73.635071,"PeeringDB, peeringdb.com/api"
