landing_point_id,name,longitude,latitude,source
boat-harbour-tas-australia,Boat Harbour  TAS  Australia,145.62379919907835,-40.95086828582336,"TeleGeography Submarine Cable Map, submarinecablemap.com"
tortola-virgin-islands-u-k-,Tortola  Virgin Islands (U.K.),-64.5972432846129,18.414781849275833,"TeleGeography Submarine Cable Map, submarinecablemap.com"
great-bay-virgin-islands-u-s-,Great Bay  Virgin Islands (U.S.),-64.84319037600663,18.322472111215845,"TeleGeography Submarine Cable Map, submarinecablemap.com"
brewers-bay-virgin-islands-u-s-,Brewer's Bay  Virgin Islands (U.S.),-64.97531918865539,18.342402587783717,"TeleGeography Submarine Cable Map, submarinecablemap.com"
frederiksted-virgin-islands-u-s-,Frederiksted  Virgin Islands (U.S.),-64.88152042697823,17.71242997088509,"TeleGeography Submarine Cable Map, submarinecablemap.com"
christiansted-virgin-islands-u-s-,Christiansted  Virgin Islands (U.S.),-64.70315141271153,17.746660579229843,"TeleGeography Submarine Cable Map, submarinecablemap.com"
carrickfergus-united-kingdom,Carrickfergus  United Kingdom,-5.808173603216411,54.71367039332284,"TeleGeography Submarine Cable Map, submarinecablemap.com"
saltcoats-united-kingdom,Saltcoats  United Kingdom,-4.783516125969337,55.63758019678909,"TeleGeography Submarine Cable Map, submarinecablemap.com"
douglas-isle-of-man,Douglas  Isle of Man,-4.480879621608963,54.15027516173659,"TeleGeography Submarine Cable Map, submarinecablemap.com"
silecroft-beach-united-kingdom,Silecroft Beach  United Kingdom,-3.35714994891956,54.21062739961812,"TeleGeography Submarine Cable Map, submarinecablemap.com"
groudle-bay-isle-of-man,Groudle Bay  Isle of Man,-4.423897240100775,54.16697942720116,"TeleGeography Submarine Cable Map, submarinecablemap.com"
peel-isle-of-man,Peel  Isle of Man,-4.691426347455632,54.22244748636314,"TeleGeography Submarine Cable Map, submarinecablemap.com"
ballywater-united-kingdom,Ballywater  United Kingdom,-5.484394535704497,54.542741580201856,"TeleGeography Submarine Cable Map, submarinecablemap.com"
port-grenaugh-isle-of-man,Port Grenaugh  Isle of Man,-4.566670576458828,54.09999306170466,"TeleGeography Submarine Cable Map, submarinecablemap.com"
hulhumale-maldives,Hulhumale  Maldives,73.54015885755544,4.211942635751779,"TeleGeography Submarine Cable Map, submarinecablemap.com"
kulhudhufushi-maldives,Kulhudhufushi  Maldives,73.07140918962199,6.622441345756148,"TeleGeography Submarine Cable Map, submarinecablemap.com"
eydhafushi-maldives,Eydhafushi  Maldives,73.07082325253708,5.10323036500878,"TeleGeography Submarine Cable Map, submarinecablemap.com"
dhangethi-maldives,Dhangethi  Maldives,72.95558895917019,3.608093477293043,"TeleGeography Submarine Cable Map, submarinecablemap.com"
gan-maldives,Gan  Maldives,73.54465104187312,1.918411782935871,"TeleGeography Submarine Cable Map, submarinecablemap.com"
gahdhoo-maldives,Gahdhoo  Maldives,73.45549094878496,0.288802003782011,"TeleGeography Submarine Cable Map, submarinecablemap.com"
diego-garcia-british-indian-ocean-territory,Diego Garcia  British Indian Ocean Territory,72.416672,-7.333330000000503,"TeleGeography Submarine Cable Map, submarinecablemap.com"
cherating-malaysia,Cherating  Malaysia,103.39365333405976,4.130238298773818,"TeleGeography Submarine Cable Map, submarinecablemap.com"
davao-philippines,Davao  Philippines,125.61277821882337,7.079988883160643,"TeleGeography Submarine Cable Map, submarinecablemap.com"
ilyich-russia,Ilyich  Russia,36.77084896777956,45.42360850409014,"TeleGeography Submarine Cable Map, submarinecablemap.com"
kerch-ukraine,Kerch  Ukraine,36.477392144417024,45.35698172208115,"TeleGeography Submarine Cable Map, submarinecablemap.com"
domburg-netherlands,Domburg  Netherlands,3.496165508627551,51.56395317878603,"TeleGeography Submarine Cable Map, submarinecablemap.com"
aldeburgh-united-kingdom,Aldeburgh  United Kingdom,1.590600452297692,52.1578426448517,"TeleGeography Submarine Cable Map, submarinecablemap.com"
port-hedland-wa-australia,Port Hedland  WA  Australia,118.57723632786723,-20.31345781610387,"TeleGeography Submarine Cable Map, submarinecablemap.com"
darwin-nt-australia,Darwin  NT  Australia,130.8431456073319,-12.467490679762426,"TeleGeography Submarine Cable Map, submarinecablemap.com"
igiugig-ak-united-states,Igiugig  AK  United States,-155.8947433058731,59.327800128586105,"TeleGeography Submarine Cable Map, submarinecablemap.com"
port-alsworth-ak-united-states,Port Alsworth  AK  United States,-154.3369319094411,60.200371500530665,"TeleGeography Submarine Cable Map, submarinecablemap.com"
